"","transID","transactionAmount","transactionDate","productID","productCategory","customerID","customerGender"
"1","1",132.41,2007-10-09,"44","B","211","Male"
"2","2",524.22,2013-06-09,"71","C","627","Female"
"3","3",691.77,2016-11-04,"79","C","627","Female"
"4","4",307.4,2010-06-23,"50","C","26","Male"
"5","5",124.42,2012-07-13,"49","B","564","Female"
"6","6",506.11,2004-06-10,"20","B","346","Male"
"7","7",634.52,2009-02-16,"73","C","556","Female"
"8","8",551.44,2017-08-16,"34","B","629","Female"
"9","9",44.61,2013-04-01,"97","D","193","Male"
"10","10",464.36,2009-06-27,"100","A","888","Female"
"11","11",43.53,2002-09-27,"71","C","278","Male"
"12","12",170.44,2010-12-24,"76","C","544","Female"
"13","13",407.54,2017-08-17,"90","D","363","Male"
"14","14",710.03,2015-08-05,"52","C","189","Male"
"15","15",873.3,2005-04-15,"18","A","259","Male"
"16","16",535.5,2009-08-26,"8","C","565","Female"
"17","17",386.59,2008-10-02,"55","C","70","Female"
"18","18",422.79,2015-07-28,"9","C","217","Male"
"19","19",616.04,2012-04-14,"66","C","995","Female"
"20","20",419.95,2013-01-30,"45","B","348","Male"
"21","21",608.36,2016-10-12,"44","B","327","Male"
"22","22",645.72,2003-06-04,"44","B","325","Male"
"23","23",256.16,2007-02-20,"8","C","216","Male"
"24","24",881,2013-10-10,"51","C","897","Female"
"25","25",627.63,2016-02-10,"54","C","256","Male"
"26","26",617.07,2010-03-16,"17","A","955","Female"
"27","27",557.43,2015-08-02,"33","B","384","Male"
"28","28",157.03,2012-01-16,"85","C","879","Female"
"29","29",350.96,2018-11-20,"28","B","743","Female"
"30","30",535,2002-06-28,"65","C","300","Male"
"31","31",313.69,2017-12-23,"49","B","315","Male"
"32","32",619.86,2019-05-06,"72","C","835","Female"
"33","33",512.15,2008-10-11,"12","A","117","Male"
"34","34",617.84,2002-01-07,"27","B","706","Female"
"35","35",968.19,2005-04-17,"99","D","260","Male"
"36","36",595.19,2010-12-15,"75","C","627","Female"
"37","37",679.17,2009-05-13,"30","B","804","Female"
"38","38",438.49,2010-05-05,"55","C","244","Male"
"39","39",898.96,2006-05-15,"71","C","661","Female"
"40","40",496.23,2018-08-25,"51","C","426","Male"
"41","41",513.58,2015-05-29,"6","C","462","Male"
"42","42",550.52,2002-04-03,"53","C","737","Female"
"43","43",497.49,2015-03-22,"4","B","414","Male"
"44","44",578.12,2019-04-08,"45","B","774","Female"
"45","45",304.79,2009-07-09,"97","D","336","Male"
"46","46",414.48,2018-03-03,"66","C","878","Female"
